name,authorUri,publicationUri,title,keywords
"Carpio, Lilia",http://ucuenca.edu.ec/resource/author/lilia-carpio,http://ucuenca.edu.ec/wkhuska/publication/evolution-of-official-social-networks-of-the-universidad-tecnica-particular-de-loja,"Evolution of official social networks of the Universidad Tecnica Particular de Loja - Ecuador""@e","Facebook, Internet, Organizations, social networks, Twitter, University"
"Astudillo Granda, Hernán",http://ucuenca.edu.ec/resource/author/hernán-astudillo-granda,http://ucuenca.edu.ec/wkhuska/publication/automatic-generation-of-hierarchical-taxonomies-from-free-text-using-linguistic,Automatic Generation of Hierarchical Taxonomies from Free Text Using Linguistic Algorithms.,Automatic Generation
"Acosta López, Oscar Alejandro",http://ucuenca.edu.ec/resource/author/oscar-alejandro-acosta-lópez,http://ucuenca.edu.ec/wkhuska/publication/improved-cortical-thickness-measurement-from-mr-images-using-partial-volume,Improved cortical thickness measurement from MR images using partial volume estimation.,"Boundary Condition, Computational Efficiency, Cortical Thickness, Gray Matter, Mr Imaging, Neurodegenerative Disease, Partial Volume, Ray Casting"
José Luis Neira Izquierdo,http://ucuenca.edu.ec/resource/author/josé-luis-neira-izquierdo,http://ucuenca.edu.ec/wkhuska/publication/localization-of-avalanche-victims-using-robocentric,Localization of avalanche victims using robocentric SLAM.,"3d measurement, Inertial Sensor, Magnetic Field, Particle Filter, Snow Avalanche"
"Castro Riera, Carlos",http://ucuenca.edu.ec/resource/author/carlos-castro-riera,http://ucuenca.edu.ec/wkhuska/publication/lanczos-lovelock-and-gravity-from-clifford-space,"Lanczos-Lovelock and f(R) Gravity from Clifford Space Geometry""@e","Clifford algebras, Extended theories of gravity, f(R) gravity, Lanczos-Lovelock gravity"
"Torres, Paulina",http://ucuenca.edu.ec/resource/author/paulina-torres,http://ucuenca.edu.ec/wkhuska/publication/antioxidant-capacity-of-human-blood-plasma-and-human-simultaneous-evaluation-of-the-orac-index-and-ascorbic-acid-concentration-employing-pyrogallol-red-as,"Antioxidant capacity of human blood plasma and human urine: Simultaneous evaluation of the ORAC index and ascorbic acid concentration employing pyrogallol red as probe""@e","Ascorbic acid, Human blood plasma, Human urine, ORAC index, Pyrogallol red"
"Figueroa García, Juan",http://ucuenca.edu.ec/resource/author/juan-figueroa-garcía,http://ucuenca.edu.ec/wkhuska/publication/fuzzy-logic-approach-to-test-statistical-hypothesis-on,A Fuzzy Logic Approach to Test Statistical Hypothesis on Means.,"Fuzzy Logic, Rule Based"
"Espinoza, Mauricio",http://ucuenca.edu.ec/resource/author/mauricio-espinoza,http://ucuenca.edu.ec/wkhuska/publication/labeltranslator-tool-to-automatically-localize-an,LabelTranslator - A Tool to Automatically Localize an Ontology.,Natural Language
Juan Melchor Segarra Rojas,http://ucuenca.edu.ec/resource/author/juan-melchor-segarra-rojas,http://ucuenca.edu.ec/wkhuska/publication/analysis-and-placement-of-storage-capacity-in-large-distributed-video,Analysis and placement of storage capacity in large distributed video servers.,"Distributed Storage, Hierarchical System, Quality of Service, Storage Capacity, Time Delay, Uniform Distribution, Video On Demand, Video Server, Video Streaming"
"Espinoza, Maria",http://ucuenca.edu.ec/resource/author/maria-espinoza,http://ucuenca.edu.ec/wkhuska/publication/personal-and-professional-use-of-menopausal-hormone-therapy-among-multinational-study,"Personal and professional use of menopausal hormone therapy among gynecologists: A multinational study (REDLINC VII)""@e","Gynecologists, Menopausal hormone therapy, Personal use, Prescribing behavior, Professionals"
"Ballari, Daniela Elisabet",http://ucuenca.edu.ec/resource/author/daniela-elisabet-ballari,http://ucuenca.edu.ec/wkhuska/publication/mobility-constraint-model-to-infer-sensor-behaviour-in-forest-fire-risk,A mobility constraint model to infer sensor behaviour in forest fire risk monitoring.,"bayesian network, Expert Knowledge, Fire Risk, Forest Fire, Mobile Sensors, Wireless Sensor Network"
